day,hour,soc,action_power
0,0,0.0,0.0
0,1,0.0,0.0
0,2,0.24,0.25263158000095004
0,3,0.62,0.40000000000095004
0,4,0.62,9.5e-13
0,5,1.0,0.40000000000095004
0,6,0.84210526,-0.15
0,7,0.42105263,-0.4
0,8,0.0,-0.4
0,9,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.24,0.25263158
0,14,0.62,0.4
0,15,1.0,0.4
0,16,1.0,0.0
0,17,0.57894737,-0.4
0,18,0.15789474,-0.4
0,19,0.022631579,-0.1285
0,20,0.0,-0.0215
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
1,0,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,3,0.0,0.0
1,4,0.0,0.0
1,5,0.0,0.0
1,6,0.0,0.0
1,7,0.0,0.0
1,8,0.0,0.0
1,9,0.0,0.0
1,10,0.0,0.0
1,11,0.0,0.0
1,12,0.0,0.0
1,13,0.38,0.4
1,14,0.76,0.4
1,15,1.0,0.25263158
1,16,0.98479026,-0.01444925
1,17,0.56373763,-0.4
1,18,0.142685,-0.4
1,19,0.15,0.00770000000095
1,20,0.070526316,-0.0755
1,21,0.0,-0.067
1,22,0.0,0.0
1,23,0.0,0.0
2,0,0.0,0.0
2,1,0.0,0.0
2,2,0.0,0.0
2,3,0.0,0.0
2,4,1e-12,9.5e-13
2,5,0.0,-9.5e-13
2,6,1e-12,9.5e-13
2,7,0.0,-9.5e-13
2,8,0.0,0.0
2,9,0.0,0.0
2,10,0.0,0.0
2,11,0.0,0.0
2,12,0.0,0.0
2,13,0.24,0.25263158
2,14,0.62,0.4
2,15,1.0,0.4
2,16,1.0,9.9990192e-13
2,17,0.71236737,-0.273251
2,18,0.29131474,-0.4
2,19,0.32589474,0.0364
2,20,0.23410526,-0.0872
2,21,0.11621053,-0.112
2,22,0.0,-0.1104
2,23,0.0,0.0
3,0,1e-12,9.5e-13
3,1,0.0,-9.5e-13
3,2,1e-12,9.5e-13
3,3,2e-12,9.5e-13
3,4,0.0,-1.9e-12
3,5,1e-12,9.5e-13
3,6,2e-12,9.5e-13
3,7,0.0,-1.9e-12
3,8,0.0,0.0
3,9,0.0,0.0
3,10,0.0,0.0
3,11,-2.0026316e-12,-1.9025e-12
3,12,0.24,0.25263158
3,13,0.24,0.0
3,14,0.62,0.4
3,15,1.0,0.4
3,16,1.0,0.0
3,17,0.57894737,-0.4
3,18,0.15789474,-0.4
3,19,0.0,-0.15
3,20,0.0,0.0
3,21,0.0,0.0
3,22,1e-12,9.5e-13
3,23,0.0,-1.95e-12
4,0,0.0,0.0
4,1,0.0,0.0
4,2,1e-12,9.5e-13
4,3,0.074631579,0.07855955700095
4,4,0.45463158,0.40000000000095004
4,5,0.16073684,-0.2792
4,6,0.0,-0.1527
4,7,1e-12,9.5e-13
4,8,1e-12,0.0
4,9,0.0,-9.5e-13
4,10,1e-12,9.5e-13
4,11,2e-12,9.5e-13
4,12,2e-12,0.0
4,13,0.38,0.40000000000095004
4,14,0.62,0.25263158000095004
4,15,1.0,0.40000000000095004
4,16,1.0,1.94966818e-12
4,17,0.93568421,-0.0611
4,18,0.51463158,-0.4
4,19,0.20652632,-0.2927
4,20,0.0,-0.1962
4,21,0.0,0.0
4,22,0.0,0.0
4,23,0.0,-1e-12
5,0,0.0,0.0
5,1,0.035245,0.03710000000095
5,2,0.09728,0.06530000000095
5,3,0.19266,0.10040000000095001
5,4,0.307515,0.12090000000095
5,5,0.307515,0.0
5,6,0.0,-0.29213925
5,7,0.38,0.40000000000095004
5,8,0.38,0.0
5,9,0.38,0.0
5,10,0.0,-0.361
5,11,0.0,0.0
5,12,0.0,0.0
5,13,0.24,0.25263158
5,14,0.62,0.4
5,15,1.0,0.4
5,16,1.0,0.0
5,17,1.0,0.0
5,18,0.57894737,-0.4
5,19,0.20010526,-0.3599
5,20,0.0,-0.1901
5,21,0.0,0.0
5,22,0.0,0.0
5,23,0.0,-1e-12
6,0,0.0,0.0
6,1,1e-12,9.5e-13
6,2,2e-12,9.5e-13
6,3,0.22747368,0.23944598000095
6,4,0.22747368,9.5e-13
6,5,0.021157895,-0.196
6,6,0.0,-0.0201
6,7,1e-12,9.5e-13
6,8,0.0,-9.5e-13
6,9,0.0,0.0
6,10,1e-12,9.5e-13
6,11,1e-12,0.0
6,12,0.38,0.4
6,13,0.76,0.4
6,14,1.0,0.25263158
6,15,1.0,0.0
6,16,1.0,0.0
6,17,1.0,0.0
6,18,0.73094737,-0.2556
6,19,0.39263158,-0.3214
6,20,0.0,-0.373
6,21,0.0,0.0
6,22,0.0,0.0
6,23,0.0,-1e-12
7,0,1e-12,9.5e-13
7,1,2e-12,9.5e-13
7,2,3e-12,9.5e-13
7,3,4e-12,9.5e-13
7,4,0.28547368,0.30049861000095
7,5,0.28547368,0.0
7,6,0.0,-0.2712
7,7,1e-12,9.5e-13
7,8,1e-12,0.0
7,9,2e-12,9.5e-13
7,10,3e-12,9.5e-13
7,11,3e-12,0.0
7,12,3e-12,0.0
7,13,0.38,0.4
7,14,0.62,0.25263158
7,15,1.0,0.4
7,16,1.0,1.94990192e-12
7,17,1.0,9.5e-13
7,18,0.57894737,-0.4
7,19,0.19368421,-0.366
7,20,0.0,-0.184
7,21,0.0,0.0
7,22,0.0,0.0
7,23,0.0,-1e-12
8,0,0.0,0.0
8,1,0.0,0.0
8,2,1e-12,9.5e-13
8,3,0.0,-9.5e-13
8,4,0.0,0.0
8,5,0.043225,0.045500000000949996
8,6,0.043225,0.0
8,7,0.043225,9.5e-13
8,8,0.0,-0.04106375
8,9,0.0,0.0
8,10,1e-12,9.5e-13
8,11,2e-12,9.5e-13
8,12,2e-12,0.0
8,13,0.38,0.4
8,14,0.62,0.25263158
8,15,1.0,0.4
8,16,0.84210526,-0.15
8,17,0.42105263,-0.4
8,18,0.0,-0.4
8,19,1e-12,9.5e-13
8,20,2e-12,9.5e-13
8,21,0.0,-1.9e-12
8,22,1e-12,9.5e-13
8,23,0.0,-1.95e-12
9,0,0.0,0.0
9,1,0.0,0.0
9,2,0.0,0.0
9,3,1e-12,9.5e-13
9,4,0.0,-9.5e-13
9,5,0.0,0.0
9,6,0.031635,0.03330000000095
9,7,0.411635,0.40000000000095004
9,8,0.411635,0.0
9,9,0.0,-0.39105325
9,10,0.0,0.0
9,11,0.0,0.0
9,12,0.0,0.0
9,13,0.24,0.25263158
9,14,0.62,0.4
9,15,1.0,0.4
9,16,0.84210526,-0.15
9,17,0.42105263,-0.4
9,18,0.0,-0.4
9,19,1e-12,9.5e-13
9,20,2e-12,9.5e-13
9,21,0.0,-1.9e-12
9,22,0.0,0.0
9,23,0.0,-1e-12
10,0,0.0,0.0
10,1,0.0,0.0
10,2,0.0,0.0
10,3,0.0,0.0
10,4,0.0,0.0
10,5,0.0,0.0
10,6,1e-12,9.5e-13
10,7,2e-12,9.5e-13
10,8,3e-12,9.5e-13
10,9,3e-12,0.0
10,10,4e-12,9.5e-13
10,11,5e-12,9.5e-13
10,12,5e-12,0.0
10,13,0.24,0.25263158
10,14,0.62,0.4
10,15,1.0,0.4
10,16,0.84210526,-0.15
10,17,0.42105263,-0.4
10,18,0.0,-0.4
10,19,0.0,0.0
10,20,0.0,0.0
10,21,0.0,0.0
10,22,0.0,0.0
10,23,0.0,-1e-12
11,0,1e-12,9.5e-13
11,1,0.32094737,0.33783934000095
11,2,0.32094737,9.5e-13
11,3,0.32094737,9.5e-13
11,4,0.32094737,9.5e-13
11,5,0.19452632,-0.1201
11,6,0.064,-0.124
11,7,0.0,-0.0608
11,8,1e-12,9.5e-13
11,9,0.0,-9.5e-13
11,10,0.0,0.0
11,11,1e-12,9.5e-13
11,12,2e-12,9.5e-13
11,13,0.24,0.25263158000095004
11,14,0.62,0.40000000000095004
11,15,1.0,0.40000000000095004
11,16,1.0,-4.9993343e-14
11,17,0.84210526,-0.15
11,18,0.42105263,-0.4
11,19,0.0,-0.4
11,20,0.0,0.0
11,21,0.0,0.0
11,22,0.0,0.0
11,23,0.0,-1e-12
12,0,1e-12,9.5e-13
12,1,2e-12,9.5e-13
12,2,3e-12,9.5e-13
12,3,4e-12,9.5e-13
12,4,0.022210526,0.02337950100095
12,5,0.022210526,9.5e-13
12,6,0.0,-0.0211
12,7,1e-12,9.5e-13
12,8,2e-12,9.5e-13
12,9,0.0,-1.9e-12
12,10,1e-12,9.5e-13
12,11,2e-12,9.5e-13
12,12,3e-12,9.5e-13
12,13,0.38,0.40000000000095004
12,14,0.76,0.40000000000095004
12,15,1.0,0.25263158000095004
12,16,0.84210526,-0.15
12,17,0.42105263,-0.4
12,18,0.0,-0.4
12,19,1e-12,9.5e-13
12,20,2e-12,9.5e-13
12,21,0.0,-1.9e-12
12,22,0.0,0.0
12,23,0.0,-1e-12
13,0,0.0342,0.036000000000949994
13,1,0.07049,0.038200000000949995
13,2,0.12008,0.05220000000095
13,3,0.183255,0.06650000000095001
13,4,0.21812,0.03670000000095
13,5,0.275405,0.060300000000949996
13,6,0.275405,0.0
13,7,0.275405,0.0
13,8,0.275405,9.5e-13
13,9,0.275405,0.0
13,10,0.0,-0.26163475
13,11,1e-12,9.5e-13
13,12,2e-12,9.5e-13
13,13,0.38,0.40000000000095004
13,14,0.76,0.40000000000095004
13,15,1.0,0.25263158000095004
13,16,0.57894737,-0.4
13,17,0.42105263,-0.15
13,18,0.0,-0.4
13,19,0.0,0.0
13,20,0.0,0.0
13,21,0.0,0.0
13,22,0.01197,0.01260000000095
13,23,0.0,-0.0113715
14,0,0.09234,0.09720000000095
14,1,0.18164,0.09400000000095
14,2,0.26315,0.08580000000095
14,3,0.325565,0.06570000000095
14,4,0.351595,0.02740000000095
14,5,0.39083,0.04130000000095
14,6,0.0,-0.3712885
14,7,0.0,0.0
14,8,1e-12,9.5e-13
14,9,2e-12,9.5e-13
14,10,3e-12,9.5e-13
14,11,4e-12,9.5e-13
14,12,0.24,0.25263158
14,13,0.62,0.4
14,14,0.62,0.0
14,15,1.0,0.4
14,16,0.84210526,-0.15
14,17,0.42105263,-0.4
14,18,0.0,-0.4
14,19,0.0,0.0
14,20,1e-12,9.5e-13
14,21,0.0,-9.5e-13
14,22,1e-12,9.5e-13
14,23,0.0,-1.95e-12
15,0,1e-12,9.5e-13
15,1,2e-12,9.5e-13
15,2,0.30476,0.32080000000095
15,3,0.62396,0.33600000000095004
15,4,0.95114,0.34440000000095
15,5,0.95114,0.0
15,6,0.53008737,-0.4
15,7,0.42105263,-0.103583
15,8,0.42105263,9.5e-13
15,9,0.0,-0.4
15,10,1e-12,9.5e-13
15,11,2e-12,9.5e-13
15,12,2e-12,0.0
15,13,0.24,0.25263158
15,14,0.62,0.4
15,15,1.0,0.4
15,16,0.84210526,-0.15
15,17,0.42105263,-0.4
15,18,0.0,-0.4
15,19,0.0,0.0
15,20,1e-12,9.5e-13
15,21,0.0,-9.5e-13
15,22,1e-12,9.5e-13
15,23,0.0,-1.95e-12
16,0,0.0,0.0
16,1,0.0,0.0
16,2,0.0,0.0
16,3,9.5e-05,9.999999994999999e-05
16,4,0.076095,0.08000000000095
16,5,0.076095,9.5e-13
16,6,0.24,0.17253158000094998
16,7,0.62,0.40000000000095004
16,8,1.0,0.40000000000095004
16,9,1.0,0.0
16,10,1.0,9.5e-13
16,11,1.0,9.5e-13
16,12,1.0,9.5e-13
16,13,1.0,9.5e-13
16,14,1.0,9.5e-13
16,15,1.0,9.5e-13
16,16,0.84210526,-0.15
16,17,0.42105263,-0.4
16,18,0.0,-0.4
16,19,0.0,0.0
16,20,0.0,0.0
16,21,0.0,0.0
16,22,0.0,0.0
16,23,0.0,-1e-12
17,0,1e-12,9.5e-13
17,1,1e-12,0.0
17,2,2e-12,9.5e-13
17,3,0.0,-1.9e-12
17,4,0.0,0.0
17,5,0.0,0.0
17,6,0.0,0.0
17,7,0.04104,0.04320000000095
17,8,0.27132,0.24240000000095
17,9,0.27132,9.5e-13
17,10,0.62,0.36703158000095004
17,11,0.62,9.5e-13
17,12,0.62,9.5e-13
17,13,1.0,0.4
17,14,1.0,0.0
17,15,1.0,0.0
17,16,0.84210526,-0.15
17,17,0.42105263,-0.4
17,18,0.0,-0.4
17,19,0.0,0.0
17,20,1e-12,9.5e-13
17,21,0.0,-9.5e-13
17,22,0.0,0.0
17,23,0.0,-1e-12
18,0,0.047405,0.04990000000095
18,1,0.10393,0.059500000000949994
18,2,0.16568,0.06500000000095
18,3,0.2337,0.07160000000095
18,4,0.298775,0.06850000000095001
18,5,0.298775,0.0
18,6,0.0,-0.28383625
18,7,0.0,0.0
18,8,1e-12,9.5e-13
18,9,0.0,-9.5e-13
18,10,0.0,0.0
18,11,-1.0526316e-12,-1e-12
18,12,0.24,0.25263158
18,13,0.62,0.4
18,14,1.0,0.4
18,15,1.0,9.9990192e-13
18,16,0.89811816,-0.09678775
18,17,0.47706553,-0.4
18,18,0.056012895,-0.4
18,19,0.093157895,0.03910000000095
18,20,0.052842105,-0.0383
18,21,0.0,-0.0502
18,22,0.0,0.0
18,23,0.0,0.0
19,0,0.0,0.0
19,1,1e-12,9.5e-13
19,2,2e-12,9.5e-13
19,3,0.074315789,0.07822714700095
19,4,0.074315789,9.5e-13
19,5,0.00073684211,-0.0699
19,6,0.0,-0.0007
19,7,0.0,0.0
19,8,0.0,0.0
19,9,0.0,0.0
19,10,1e-12,9.5e-13
19,11,1e-12,0.0
19,12,0.24,0.25263158
19,13,0.62,0.4
19,14,1.0,0.4
19,15,1.0,-1.0000778e-12
19,16,0.57894737,-0.4
19,17,0.57894737,0.0
19,18,0.15789474,-0.4
19,19,0.0,-0.15
19,20,0.0,0.0
19,21,0.0,0.0
19,22,0.0,0.0
19,23,0.0,-1e-12
20,0,0.0,0.0
20,1,0.0,0.0
20,2,0.027265,0.02870000000095
20,3,0.095855,0.07220000000095
20,4,0.20672,0.11670000000095
20,5,0.37259,0.17460000000095
20,6,0.0,-0.3539605
20,7,0.0,0.0
20,8,0.0,0.0
20,9,0.0,0.0
20,10,0.0,0.0
20,11,1e-12,9.5e-13
